,reger,reger2,reger3,dis1,dis2,dis3
0,"GL/PvdA, NSC, VVD, CDA","GL/PvdA, NSC, VVD, 50PLUS, CDA","GL/PvdA, NSC, VVD, BBB, CDA",62.104841494051975,62.85188113371474,64.48965324713502
1,"CU, GL/PvdA, NSC, VVD, D66, CDA","GL/PvdA, NSC, VVD, BBB, D66, CDA","GL/PvdA, SGP, NSC, VVD, D66, CDA",73.14200278180402,78.48140301967875,81.96557954440432
2,"GL/PvdA, NSC, VVD, BBB, CDA","GL/PvdA, NSC, VVD, BBB, 50PLUS","GL/PvdA, SGP, NSC, VVD, CDA",64.48965324713502,65.21616095702562,65.83771841505269
