,Key,Value
183,"('NSC', 'SGP', 'Volt')",0
184,"('NSC', 'SGP', 'CU')",2
185,"('NSC', 'SGP', 'JA21')",2
186,"('NSC', 'SGP', 'VVD')",11
187,"('NSC', 'D66', 'CDA')",9
188,"('NSC', 'D66', 'GL/PvdA')",12
189,"('NSC', 'D66', 'BIJ1')",0
190,"('NSC', 'D66', 'FvD')",0
191,"('NSC', 'D66', 'GL')",0
192,"('NSC', 'D66', 'PVV')",0
193,"('NSC', 'D66', 'Denk')",0
194,"('NSC', 'D66', 'SP')",0
195,"('NSC', 'D66', '50PLUS')",0
196,"('NSC', 'D66', 'PvdD')",0
197,"('NSC', 'D66', 'BBB')",8
198,"('NSC', 'D66', 'Volt')",0
199,"('NSC', 'D66', 'CU')",3
200,"('NSC', 'D66', 'JA21')",0
201,"('NSC', 'D66', 'VVD')",12
202,"('NSC', 'CDA', 'GL/PvdA')",20
203,"('NSC', 'CDA', 'BIJ1')",0
204,"('NSC', 'CDA', 'FvD')",0
205,"('NSC', 'CDA', 'GL')",0
206,"('NSC', 'CDA', 'PVV')",0
207,"('NSC', 'CDA', 'Denk')",0
208,"('NSC', 'CDA', 'SP')",0
209,"('NSC', 'CDA', '50PLUS')",0
210,"('NSC', 'CDA', 'PvdD')",0
211,"('NSC', 'CDA', 'BBB')",12
212,"('NSC', 'CDA', 'Volt')",0
213,"('NSC', 'CDA', 'CU')",3
214,"('NSC', 'CDA', 'JA21')",0
215,"('NSC', 'CDA', 'VVD')",20
216,"('NSC', 'GL/PvdA', 'BIJ1')",0
217,"('NSC', 'GL/PvdA', 'FvD')",0
218,"('NSC', 'GL/PvdA', 'GL')",0
219,"('NSC', 'GL/PvdA', 'PVV')",0
220,"('NSC', 'GL/PvdA', 'Denk')",0
221,"('NSC', 'GL/PvdA', 'SP')",0
222,"('NSC', 'GL/PvdA', '50PLUS')",0
223,"('NSC', 'GL/PvdA', 'PvdD')",0
224,"('NSC', 'GL/PvdA', 'BBB')",16
225,"('NSC', 'GL/PvdA', 'Volt')",0
226,"('NSC', 'GL/PvdA', 'CU')",3
227,"('NSC', 'GL/PvdA', 'JA21')",0
228,"('NSC', 'GL/PvdA', 'VVD')",24
229,"('NSC', 'BIJ1', 'FvD')",0
230,"('NSC', 'BIJ1', 'GL')",0
231,"('NSC', 'BIJ1', 'PVV')",0
232,"('NSC', 'BIJ1', 'Denk')",0
233,"('NSC', 'BIJ1', 'SP')",0
234,"('NSC', 'BIJ1', '50PLUS')",0
235,"('NSC', 'BIJ1', 'PvdD')",0
236,"('NSC', 'BIJ1', 'BBB')",0
237,"('NSC', 'BIJ1', 'Volt')",0
238,"('NSC', 'BIJ1', 'CU')",0
239,"('NSC', 'BIJ1', 'JA21')",0
240,"('NSC', 'BIJ1', 'VVD')",0
241,"('NSC', 'FvD', 'GL')",0
242,"('NSC', 'FvD', 'PVV')",12
243,"('NSC', 'FvD', 'Denk')",0
244,"('NSC', 'FvD', 'SP')",0
245,"('NSC', 'FvD', '50PLUS')",0
246,"('NSC', 'FvD', 'PvdD')",0
247,"('NSC', 'FvD', 'BBB')",12
248,"('NSC', 'FvD', 'Volt')",0
249,"('NSC', 'FvD', 'CU')",2
250,"('NSC', 'FvD', 'JA21')",1
251,"('NSC', 'FvD', 'VVD')",12
252,"('NSC', 'GL', 'PVV')",0
253,"('NSC', 'GL', 'Denk')",0
254,"('NSC', 'GL', 'SP')",0
255,"('NSC', 'GL', '50PLUS')",0
256,"('NSC', 'GL', 'PvdD')",0
257,"('NSC', 'GL', 'BBB')",0
258,"('NSC', 'GL', 'Volt')",0
259,"('NSC', 'GL', 'CU')",0
260,"('NSC', 'GL', 'JA21')",0
261,"('NSC', 'GL', 'VVD')",0
262,"('NSC', 'PVV', 'Denk')",0
263,"('NSC', 'PVV', 'SP')",0
264,"('NSC', 'PVV', '50PLUS')",0
265,"('NSC', 'PVV', 'PvdD')",0
266,"('NSC', 'PVV', 'BBB')",31
267,"('NSC', 'PVV', 'Volt')",0
268,"('NSC', 'PVV', 'CU')",2
269,"('NSC', 'PVV', 'JA21')",6
270,"('NSC', 'PVV', 'VVD')",31
271,"('NSC', 'Denk', 'SP')",0
272,"('NSC', 'Denk', '50PLUS')",0
273,"('NSC', 'Denk', 'PvdD')",0
274,"('NSC', 'Denk', 'BBB')",0
275,"('NSC', 'Denk', 'Volt')",0
276,"('NSC', 'Denk', 'CU')",0
277,"('NSC', 'Denk', 'JA21')",0
278,"('NSC', 'Denk', 'VVD')",0
279,"('NSC', 'SP', '50PLUS')",0
280,"('NSC', 'SP', 'PvdD')",0
281,"('NSC', 'SP', 'BBB')",0
282,"('NSC', 'SP', 'Volt')",0
283,"('NSC', 'SP', 'CU')",0
284,"('NSC', 'SP', 'JA21')",0
285,"('NSC', 'SP', 'VVD')",0
286,"('NSC', '50PLUS', 'PvdD')",0
287,"('NSC', '50PLUS', 'BBB')",0
288,"('NSC', '50PLUS', 'Volt')",0
289,"('NSC', '50PLUS', 'CU')",0
290,"('NSC', '50PLUS', 'JA21')",0
291,"('NSC', '50PLUS', 'VVD')",0
292,"('NSC', 'PvdD', 'BBB')",0
293,"('NSC', 'PvdD', 'Volt')",0
294,"('NSC', 'PvdD', 'CU')",0
295,"('NSC', 'PvdD', 'JA21')",0
296,"('NSC', 'PvdD', 'VVD')",0
297,"('NSC', 'BBB', 'Volt')",0
298,"('NSC', 'BBB', 'CU')",3
299,"('NSC', 'BBB', 'JA21')",6
300,"('NSC', 'BBB', 'VVD')",47
301,"('NSC', 'Volt', 'CU')",0
302,"('NSC', 'Volt', 'JA21')",0
303,"('NSC', 'Volt', 'VVD')",0
304,"('NSC', 'CU', 'JA21')",0
305,"('NSC', 'CU', 'VVD')",5
306,"('NSC', 'JA21', 'VVD')",6
307,"('SGP', 'D66', 'CDA')",0
308,"('SGP', 'D66', 'GL/PvdA')",0
309,"('SGP', 'D66', 'BIJ1')",0
310,"('SGP', 'D66', 'FvD')",0
311,"('SGP', 'D66', 'GL')",0
312,"('SGP', 'D66', 'PVV')",0
313,"('SGP', 'D66', 'Denk')",0
314,"('SGP', 'D66', 'SP')",0
315,"('SGP', 'D66', '50PLUS')",0
316,"('SGP', 'D66', 'PvdD')",0
317,"('SGP', 'D66', 'BBB')",0
318,"('SGP', 'D66', 'Volt')",0
319,"('SGP', 'D66', 'CU')",0
320,"('SGP', 'D66', 'JA21')",0
321,"('SGP', 'D66', 'VVD')",0
322,"('SGP', 'CDA', 'GL/PvdA')",1
323,"('SGP', 'CDA', 'BIJ1')",0
324,"('SGP', 'CDA', 'FvD')",0
325,"('SGP', 'CDA', 'GL')",0
326,"('SGP', 'CDA', 'PVV')",0
327,"('SGP', 'CDA', 'Denk')",0
328,"('SGP', 'CDA', 'SP')",0
329,"('SGP', 'CDA', '50PLUS')",0
330,"('SGP', 'CDA', 'PvdD')",0
331,"('SGP', 'CDA', 'BBB')",1
332,"('SGP', 'CDA', 'Volt')",0
333,"('SGP', 'CDA', 'CU')",0
334,"('SGP', 'CDA', 'JA21')",0
335,"('SGP', 'CDA', 'VVD')",1
336,"('SGP', 'GL/PvdA', 'BIJ1')",0
337,"('SGP', 'GL/PvdA', 'FvD')",0
338,"('SGP', 'GL/PvdA', 'GL')",0
339,"('SGP', 'GL/PvdA', 'PVV')",0
340,"('SGP', 'GL/PvdA', 'Denk')",0
341,"('SGP', 'GL/PvdA', 'SP')",0
342,"('SGP', 'GL/PvdA', '50PLUS')",0
343,"('SGP', 'GL/PvdA', 'PvdD')",0
344,"('SGP', 'GL/PvdA', 'BBB')",1
345,"('SGP', 'GL/PvdA', 'Volt')",0
346,"('SGP', 'GL/PvdA', 'CU')",0
347,"('SGP', 'GL/PvdA', 'JA21')",0
348,"('SGP', 'GL/PvdA', 'VVD')",1
349,"('SGP', 'BIJ1', 'FvD')",0
350,"('SGP', 'BIJ1', 'GL')",0
351,"('SGP', 'BIJ1', 'PVV')",0
352,"('SGP', 'BIJ1', 'Denk')",0
353,"('SGP', 'BIJ1', 'SP')",0
354,"('SGP', 'BIJ1', '50PLUS')",0
355,"('SGP', 'BIJ1', 'PvdD')",0
356,"('SGP', 'BIJ1', 'BBB')",0
357,"('SGP', 'BIJ1', 'Volt')",0
358,"('SGP', 'BIJ1', 'CU')",0
359,"('SGP', 'BIJ1', 'JA21')",0
360,"('SGP', 'BIJ1', 'VVD')",0
361,"('SGP', 'FvD', 'GL')",0
362,"('SGP', 'FvD', 'PVV')",7
363,"('SGP', 'FvD', 'Denk')",0
364,"('SGP', 'FvD', 'SP')",0
365,"('SGP', 'FvD', '50PLUS')",0
366,"('SGP', 'FvD', 'PvdD')",0
367,"('SGP', 'FvD', 'BBB')",7
368,"('SGP', 'FvD', 'Volt')",0
369,"('SGP', 'FvD', 'CU')",2
370,"('SGP', 'FvD', 'JA21')",1
371,"('SGP', 'FvD', 'VVD')",7
372,"('SGP', 'GL', 'PVV')",0
373,"('SGP', 'GL', 'Denk')",0
374,"('SGP', 'GL', 'SP')",0
375,"('SGP', 'GL', '50PLUS')",0
376,"('SGP', 'GL', 'PvdD')",0
377,"('SGP', 'GL', 'BBB')",0
378,"('SGP', 'GL', 'Volt')",0
379,"('SGP', 'GL', 'CU')",0
380,"('SGP', 'GL', 'JA21')",0
381,"('SGP', 'GL', 'VVD')",0
382,"('SGP', 'PVV', 'Denk')",0
383,"('SGP', 'PVV', 'SP')",0
384,"('SGP', 'PVV', '50PLUS')",0
385,"('SGP', 'PVV', 'PvdD')",0
386,"('SGP', 'PVV', 'BBB')",11
387,"('SGP', 'PVV', 'Volt')",0
388,"('SGP', 'PVV', 'CU')",2
389,"('SGP', 'PVV', 'JA21')",2
390,"('SGP', 'PVV', 'VVD')",12
391,"('SGP', 'Denk', 'SP')",0
392,"('SGP', 'Denk', '50PLUS')",0
393,"('SGP', 'Denk', 'PvdD')",0
394,"('SGP', 'Denk', 'BBB')",0
395,"('SGP', 'Denk', 'Volt')",0
396,"('SGP', 'Denk', 'CU')",0
397,"('SGP', 'Denk', 'JA21')",0
398,"('SGP', 'Denk', 'VVD')",0
399,"('SGP', 'SP', '50PLUS')",0
400,"('SGP', 'SP', 'PvdD')",0
401,"('SGP', 'SP', 'BBB')",0
402,"('SGP', 'SP', 'Volt')",0
403,"('SGP', 'SP', 'CU')",0
404,"('SGP', 'SP', 'JA21')",0
405,"('SGP', 'SP', 'VVD')",0
406,"('SGP', '50PLUS', 'PvdD')",0
407,"('SGP', '50PLUS', 'BBB')",0
