,Key,Value
2974,"('GL/PvdA', 'D66', 'GL', 'Denk')",25.2019848618317
691,"('NSC', 'VVD', '50PLUS')",25.240507686366907
854,"('FvD', 'SGP', 'JA21')",25.34562151599953
161,"('VVD', '50PLUS')",25.371641431710795
2927,"('GL/PvdA', 'Volt', 'D66', 'GL')",25.383841736209234
1785,"('SP', 'GL/PvdA', 'PvdD', 'BIJ1')",25.871654357271936
580,"('GL/PvdA', 'Volt', 'GL')",25.989680994106678
146,"('PVV', '50PLUS')",26.066358312326752
207,"('CU', 'GL/PvdA', 'D66')",26.07504013931146
915,"('D66', 'GL', 'Denk')",26.119253615050184
1796,"('SP', 'GL/PvdA', 'PvdD', 'Denk')",26.195054689962102
29,"('CU', 'SGP')",26.295201554852458
2390,"('BBB', 'NSC', '50PLUS', 'JA21')",26.554397758790646
142,"('D66', 'Denk')",26.721013203035774
524,"('BBB', 'VVD', 'CDA')",26.722463393800695
2538,"('BBB', 'FvD', 'PVV', 'JA21')",26.795709381747926
2663,"('BBB', 'SGP', 'VVD', 'JA21')",27.02752849135205
2386,"('BBB', 'NSC', 'VVD', '50PLUS')",27.060845502528522
2549,"('BBB', 'FvD', 'SGP', 'JA21')",27.063876217898866
2391,"('BBB', 'NSC', '50PLUS', 'CDA')",27.112243632904654
3319,"('NSC', 'SGP', 'JA21', 'CDA')",27.126686131111192
594,"('GL/PvdA', 'D66', 'Denk')",27.173832511225044
1801,"('SP', 'GL/PvdA', 'BIJ1', 'GL')",27.17974658403944
2553,"('BBB', 'FvD', 'VVD', 'JA21')",27.210260303773172
526,"('BBB', '50PLUS', 'JA21')",27.40779489055874
120,"('FvD', 'SGP')",27.461638020508847
520,"('BBB', 'SGP', 'CDA')",27.483366090631325
324,"('SP', 'GL/PvdA', 'BIJ1')",27.56267499969317
85,"('NSC', 'PVV')",27.565132761407337
2810,"('GL/PvdA', 'PvdD', 'GL', 'Denk')",27.659952360881526
446,"('BBB', 'NSC', 'PVV')",27.82225771129509
545,"('GL/PvdA', 'PvdD', 'BIJ1')",27.907290482514252
295,"('CU', 'SGP', 'CDA')",27.967381127895457
556,"('GL/PvdA', 'PvdD', 'Denk')",27.98294426272053
209,"('CU', 'GL/PvdA', 'GL')",28.023116997403147
529,"('BBB', 'JA21', 'CDA')",28.198279360655786
1828,"('SP', 'GL/PvdA', 'D66', 'GL')",28.219901125495994
2764,"('GL/PvdA', 'PvdD', 'BIJ1', 'GL')",28.250578604545193
2372,"('BBB', 'NSC', 'PVV', 'JA21')",28.526150425468586
3325,"('NSC', 'VVD', 'JA21', 'CDA')",28.648972006859925
858,"('FvD', 'VVD', 'JA21')",28.742816005273767
167,"('50PLUS', 'Denk')",28.751404426693867
687,"('NSC', 'SGP', '50PLUS')",28.772210125019036
3323,"('NSC', 'VVD', '50PLUS', 'CDA')",28.993579117965414
479,"('BBB', 'FvD', 'PVV')",29.022263881553343
522,"('BBB', 'VVD', '50PLUS')",29.126637612815667
68,"('GL/PvdA', 'BIJ1')",29.311908264362465
144,"('PVV', 'SGP')",29.320245592753736
3199,"('NSC', 'FvD', 'SGP', 'JA21')",29.436180430511037
168,"('JA21', 'CDA')",29.540456726842486
2664,"('BBB', 'SGP', 'VVD', 'CDA')",29.638162177562368
3317,"('NSC', 'SGP', '50PLUS', 'CDA')",29.687346315861546
1369,"('CU', 'NSC', 'SGP', 'CDA')",29.690733895719628
31,"('CU', '50PLUS')",29.718529482262387
2865,"('GL/PvdA', 'BIJ1', 'GL', 'Denk')",29.77577809347587
695,"('NSC', '50PLUS', 'JA21')",29.818021358670887
1807,"('SP', 'GL/PvdA', 'BIJ1', 'Denk')",29.97786285030023
1268,"('CU', 'GL/PvdA', 'D66', 'GL')",30.04503784198283
974,"('SGP', 'JA21', 'CDA')",30.23935551129429
2346,"('BBB', 'NSC', 'FvD', 'VVD')",30.808480826751087
650,"('NSC', 'FvD', 'SGP')",30.829041670215982
482,"('BBB', 'FvD', 'VVD')",30.98572332604311
2345,"('BBB', 'NSC', 'FvD', 'SGP')",31.027416510178092
392,"('SP', 'D66', 'GL')",31.039364408454464
677,"('NSC', 'PVV', 'JA21')",31.05982276891661
481,"('BBB', 'FvD', 'SGP')",31.09172469272739
2382,"('BBB', 'NSC', 'SGP', '50PLUS')",31.150239915990333
223,"('CU', 'NSC', 'SGP')",31.172402545790977
3203,"('NSC', 'FvD', 'VVD', 'JA21')",31.358821081669994
527,"('BBB', '50PLUS', 'CDA')",31.463475817462175
28,"('CU', 'GL')",31.51029765494664
157,"('SGP', '50PLUS')",31.807020685968844
2770,"('GL/PvdA', 'PvdD', 'BIJ1', 'Denk')",31.81726171487112
327,"('SP', 'GL/PvdA', 'D66')",31.878273948087127
3312,"('NSC', 'SGP', 'VVD', '50PLUS')",32.018081222287805
567,"('GL/PvdA', 'BIJ1', 'Denk')",32.04154319166871
978,"('VVD', '50PLUS', 'CDA')",32.288208033129095
272,"('CU', 'D66', 'GL')",32.31656297151103
165,"('50PLUS', 'JA21')",32.60674368931723
2675,"('BBB', 'VVD', 'JA21', 'CDA')",32.62025979187503
4035,"('SGP', 'VVD', 'JA21', 'CDA')",32.863630514648264
2669,"('BBB', 'SGP', 'JA21', 'CDA')",32.874230481410954
980,"('VVD', 'JA21', 'CDA')",32.98164867042217
2791,"('GL/PvdA', 'PvdD', 'D66', 'GL')",33.0963094216279
972,"('SGP', '50PLUS', 'CDA')",33.17093996360546
507,"('BBB', 'PVV', '50PLUS')",33.191841906058414
121,"('FvD', 'VVD')",33.449953455251425
651,"('NSC', 'FvD', 'VVD')",33.628645178843016
3188,"('NSC', 'FvD', 'PVV', 'JA21')",34.156673574500076
2155,"('SP', 'D66', 'GL', 'Denk')",34.27388711862621
2846,"('GL/PvdA', 'BIJ1', 'D66', 'GL')",34.297489799351396
674,"('NSC', 'PVV', 'SGP')",34.32339054716429
676,"('NSC', 'PVV', '50PLUS')",34.56056941749027
967,"('SGP', 'VVD', '50PLUS')",34.730800862370266
787,"('BIJ1', 'D66', 'GL')",34.75009715932419
225,"('CU', 'NSC', '50PLUS')",34.812393012418454
2371,"('BBB', 'NSC', 'PVV', '50PLUS')",35.02710540243969
2672,"('BBB', 'VVD', '50PLUS', 'JA21')",35.04524771283919
2343,"('BBB', 'NSC', 'FvD', 'PVV')",35.08929346057671
2349,"('BBB', 'NSC', 'FvD', 'CDA')",35.11826431022258
302,"('CU', '50PLUS', 'CDA')",35.12224106077905
3322,"('NSC', 'VVD', '50PLUS', 'JA21')",35.20246362945948
1376,"('CU', 'NSC', '50PLUS', 'CDA')",35.223351673158696
3818,"('FvD', 'SGP', 'VVD', 'JA21')",35.29692173871796
939,"('PVV', 'SGP', 'JA21')",35.39169613392343
732,"('PvdD', 'D66', 'GL')",35.4659729902936
518,"('BBB', 'SGP', '50PLUS')",35.56394492677911
2369,"('BBB', 'NSC', 'PVV', 'SGP')",35.756405412584215
3197,"('NSC', 'FvD', 'SGP', 'VVD')",35.7921699344648
1834,"('SP', 'GL/PvdA', 'D66', 'Denk')",35.79732349696533
2634,"('BBB', 'PVV', 'SGP', 'JA21')",35.79807104497686
42,"('SP', 'D66')",35.919788389262145
3328,"('NSC', '50PLUS', 'JA21', 'CDA')",35.99888201814486
2556,"('BBB', 'FvD', '50PLUS', 'JA21')",36.08511380135914
2559,"('BBB', 'FvD', 'JA21', 'CDA')",36.13682853294446
76,"('GL/PvdA', '50PLUS')",36.262231406754225
505,"('BBB', 'PVV', 'SGP')",36.28024255162946
398,"('SP', 'D66', 'Denk')",36.294159478602545
3209,"('NSC', 'FvD', 'JA21', 'CDA')",36.41362482345075
2673,"('BBB', 'VVD', '50PLUS', 'CDA')",36.55722103182573
262,"('CU', 'Volt', 'D66')",36.589244886173574
4033,"('SGP', 'VVD', '50PLUS', 'CDA')",36.5966478122283
654,"('NSC', 'FvD', 'CDA')",36.597918750228914
852,"('FvD', 'SGP', 'VVD')",36.633159092930576
1373,"('CU', 'NSC', 'VVD', 'CDA')",36.72507285845126
34,"('CU', 'Denk')",36.79355248940091
2347,"('BBB', 'NSC', 'FvD', '50PLUS')",36.80128107157123
648,"('NSC', 'FvD', 'PVV')",36.92004317223387
3284,"('NSC', 'PVV', 'SGP', 'JA21')",37.134694596922955
3316,"('NSC', 'SGP', '50PLUS', 'JA21')",37.15028170833532
2547,"('BBB', 'FvD', 'SGP', 'VVD')",37.268959064942685
2662,"('BBB', 'SGP', 'VVD', '50PLUS')",37.48621521404224
1132,"('CU', 'BBB', 'NSC', 'CDA')",37.655763766679314
2370,"('BBB', 'NSC', 'PVV', 'VVD')",37.69678803786134
3200,"('NSC', 'FvD', 'SGP', 'CDA')",37.71982038113391
215,"('CU', 'GL/PvdA', 'Denk')",37.85591609667098
2638,"('BBB', 'PVV', 'VVD', 'JA21')",38.10377343955529
1287,"('CU', 'GL/PvdA', 'GL', 'Denk')",38.20811751851788
2641,"('BBB', 'PVV', '50PLUS', 'JA21')",38.31614405689948
3789,"('FvD', 'PVV', 'SGP', 'JA21')",38.329735326017165
1972,"('SP', 'PvdD', 'D66', 'GL')",38.40887665455057
548,"('GL/PvdA', 'PvdD', 'D66')",38.4480604990621
3480,"('PvdD', 'D66', 'GL', 'Denk')",38.608693085238315
483,"('BBB', 'FvD', '50PLUS')",38.641216710474104
188,"('CU', 'BBB', 'NSC')",38.661949250625256
2666,"('BBB', 'SGP', '50PLUS', 'JA21')",38.7693223569997
139,"('D66', '50PLUS')",39.007182909476896
3645,"('BIJ1', 'D66', 'GL', 'Denk')",39.01335896130922
2667,"('BBB', 'SGP', '50PLUS', 'CDA')",39.02724479500651
864,"('FvD', 'JA21', 'CDA')",39.2642374631439
2027,"('SP', 'BIJ1', 'D66', 'GL')",39.272949301278715
977,"('VVD', '50PLUS', 'JA21')",39.30156137897959
1649,"('CU', 'SGP', 'VVD', 'CDA')",39.426566805809344
1258,"('CU', 'GL/PvdA', 'Volt', 'D66')",39.48837074795574
1366,"('CU', 'NSC', 'SGP', 'VVD')",39.49633117266159
506,"('BBB', 'PVV', 'VVD')",39.70645940597355
2678,"('BBB', '50PLUS', 'JA21', 'CDA')",39.71343058891512
299,"('CU', 'VVD', 'CDA')",39.72630433671759
3352,"('PvdD', 'BIJ1', 'D66', 'GL')",40.01936700036527
224,"('CU', 'NSC', 'VVD')",40.282355246437355
485,"('BBB', 'FvD', 'CDA')",40.28843880581475
840,"('FvD', 'PVV', 'SGP')",40.308907024804874
25,"('CU', 'Volt')",40.409392728386834
3206,"('NSC', 'FvD', '50PLUS', 'JA21')",40.49041379350083
277,"('CU', 'D66', 'CDA')",40.54921206718657
1978,"('SP', 'PvdD', 'D66', 'Denk')",40.618267127684575
675,"('NSC', 'PVV', 'VVD')",40.655212276819675
3282,"('NSC', 'PVV', 'SGP', 'VVD')",40.666683979530305
3204,"('NSC', 'FvD', 'VVD', 'CDA')",40.89651191327258
946,"('PVV', '50PLUS', 'JA21')",40.94093581195184
559,"('GL/PvdA', 'BIJ1', 'D66')",41.01048029812896
1274,"('CU', 'GL/PvdA', 'D66', 'Denk')",41.03993895559081
1788,"('SP', 'GL/PvdA', 'PvdD', 'D66')",41.110639052663906
1943,"('SP', 'PvdD', 'BIJ1', 'D66')",41.1149144664577
141,"('D66', 'CDA')",41.137393430875306
3288,"('NSC', 'PVV', 'VVD', 'JA21')",41.21665355678604
2373,"('BBB', 'NSC', 'PVV', 'CDA')",41.34527759886432
352,"('SP', 'PvdD', 'D66')",41.41885795208133
1128,"('CU', 'BBB', 'NSC', 'SGP')",41.440516259652945
2797,"('GL/PvdA', 'PvdD', 'D66', 'Denk')",41.44229863716236
861,"('FvD', '50PLUS', 'JA21')",41.532753857345696
107,"('BIJ1', 'D66')",41.61271805624363
